"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"Passing Illusions: Jewish Visibility in Weimar Germany"	"9780472073573"	"9780472123001"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9343646"	"Wallach"	"10.3998/mpub.9343646"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Performing Unification: History and Nation in German Theater after 1989"	"9780472130450"	"9780472123070"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9406366"	"Cornish"	"10.3998/mpub.9406366"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Performing the Intercultural City"	"9780472073603"	"9780472123063"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9509783"	"Knowles"	"10.3998/mpub.9509783"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Pivotal Voices, Era of Transition: Toward a 21st Century Poetics"	"9780472036974"	"9780472123193"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9718871"	"Gonzalez"	"10.3998/mpub.9718871"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Politics Over Process: Partisan Conflict and Post-Passage Processes in the U.S. Congress"	"9780472130511"	"9780472123186"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.6201280"	"Park"	"10.3998/mpub.6201280"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Portraits of Violence: War and the Aesthetics of Disfigurement"	"9780472130290"	"9780472122691"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.7132138"	"Biernoff"	"10.3998/mpub.7132138"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Private Guns, Public Health, New Ed."	"9780472037018"	"9780472123254"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9725179"	"Hemenway"	"10.3998/mpub.9725179"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	"New Edition"	""	""	""	"P"
"Putting Inequality in Context: Class, Public Opinion, and Representation in the United States"	"9780472130498"	"9780472902514"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9535979"	"Ellis"	"10.3998/mpub.9535979"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"Recording Village Life: A Coptic Scribe in Early Islamic Egypt"	"9780472130481"	"9780472123117"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.8846303"	"Cromwell"	"10.3998/mpub.8846303"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Remembering Tanizaki Jun'ichiro and Matsuko: Diary Entries, Interview Notes, and Letters, 1954-1989"	"9780472073658"	"9780472123223"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9701749"	"Chambers"	"10.3998/mpub.9701749"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Rising Powers and Foreign Policy Revisionism: Understanding BRICS Identity and Behavior Through Time"	"9780472130566"	"9780472123285"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9449686"	"Thies"	"10.3998/mpub.9449686"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Ritual Matters: Material Remains and Ancient Religion"	"9780472130573"	"9780472123308"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9514628"	"Knust"	"10.3998/mpub.9514628"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Rival Claims: Ethnic Violence and Territorial Autonomy under Indian Federalism"	"9780472130245"	"9780472122561"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.8877283"	"Lacina"	"10.3998/mpub.8877283"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Roman Artists, Patrons, and Public Consumption: Familiar Works Reconsidered"	"9780472130658"	"9780472123490"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9560572"	"Longfellow"	"10.3998/mpub.9560572"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Seven Plays of Koffi Kwahulé: In and Out of Africa"	"9780472073498"	"9780472122806"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.7273905"	"Miller"	"10.3998/mpub.7273905"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Showing Off, Showing Up: Studies of Hype, Heightened Performance, and Cultural Power"	"9780472073467"	"9780472122769"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9286142"	"Frederik"	"10.3998/mpub.9286142"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Smartland Korea: Mobile Communication, Culture, and Society"	"9780472073375"	"9780472122615"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9332315"	"Jin"	"10.3998/mpub.9332315"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
